,Name,PV,PV/pass,Passes,Position,Team,games,rPV/pass,Rating
231,David Alberto Guzmán Pérez,0.7570418520970499,0.006154811805667073,123.0,Midfield,Costa Rica,3,0.62,-0.42447262480346787
232,Genki Haraguchi,0.5351296525143486,0.006222437819934286,86.0,Midfield,Japan,3,0.62,-0.42447262480346787
233,Celso Borges Mora,0.771474571454383,0.006171796571635064,125.0,Midfield,Costa Rica,3,0.62,-0.42447262480346787
234,Wílmar Enrique Barrios Terán,0.775236607136928,0.006152671485213714,126.0,Midfield,England,3,0.62,-0.42447262480346787
235,Mateo Kovačić,0.7815233244487843,0.006202566067053843,126.0,Midfield,Croatia,5,0.62,-0.42447262480346787
236,Marco Reus,0.7861481535565872,0.006239271059972914,126.0,Midfield,Germany,3,0.62,-0.42447262480346787
237,Aleksandr Golovin,0.8418249162115178,0.006235740120085317,135.0,Midfield,Russia,4,0.62,-0.42447262480346787
238,Anice Badri,0.49743267533958124,0.00614114413999483,81.0,Midfield,Tunisia,3,0.62,-0.42447262480346787
239,Armando Enrique Cooper Whitaker,0.46039777971624707,0.006221591617787123,74.0,Midfield,Panama,2,0.62,-0.42447262480346787
240,Mbark Boussoufa,0.8142392824767464,0.006215567041807224,131.0,Midfield,Morocco,3,0.62,-0.42447262480346787
241,Bernardo Mota Veiga de Carvalho e Silva,0.8148904011206747,0.006173412129702081,132.0,Midfield,Portugal,4,0.62,-0.42447262480346787
242,Ante Rebić,0.8204271793883534,0.006215357419608738,132.0,Midfield,Croatia,6,0.62,-0.42447262480346787
243,Milan Badelj,0.452387421551885,0.006197087966464178,73.0,Midfield,Iceland,2,0.62,-0.42447262480346787
244,Andrés Mateus Uribe Villa,0.5404442874155596,0.006141412356994996,88.0,Midfield,England,3,0.62,-0.42447262480346787
245,Carlos Alberto Vela Garrido,0.7507604636900045,0.006153774292541021,122.0,Midfield,Mexico,4,0.62,-0.42447262480346787
246,Aron Einar Gunnarsson,0.5484696928114955,0.006162580818106691,89.0,Midfield,Iceland,3,0.62,-0.42447262480346787
247,Victor Moses,0.7449284021713319,0.0062077366847610995,120.0,Midfield,Nigeria,3,0.62,-0.42447262480346787
248,Jefferson Andrés Lerma Solís,0.5634241971820415,0.006260268857578239,90.0,Midfield,Colombia,4,0.62,-0.42447262480346787
249,Blerim Džemaili,0.5722978619366424,0.00622062893409394,92.0,Midfield,Switzerland,4,0.62,-0.42447262480346787
250,Fakhreddine Ben Youssef,0.5887517828496748,0.006197387187891313,95.0,Midfield,Tunisia,3,0.62,-0.42447262480346787
251,Brian Oladapo Idowu,0.5897631372550909,0.006208033023737799,95.0,Midfield,Iceland,3,0.62,-0.42447262480346787
252,Sami Khedira,0.6213626509843361,0.006213626509843361,100.0,Midfield,Germany,2,0.62,-0.42447262480346787
253,Steven N'Kemboanza Mike Christopher Nzonzi,0.6342628082976085,0.006218262826447142,102.0,Midfield,France,4,0.62,-0.42447262480346787
254,Pedro Jesús Aquino Sánchez,0.6424902247997335,0.00617779062307436,104.0,Midfield,Peru,3,0.62,-0.42447262480346787
255,Édison Michael Flores Peralta,0.644291535361304,0.006195110916935615,104.0,Midfield,Australia,3,0.62,-0.42447262480346787
256,André Martín Carrillo Díaz,0.6587529500581388,0.006214650472246593,106.0,Midfield,Peru,3,0.62,-0.42447262480346787
257,Hussain Al Mogahwi,0.6605005163241126,0.006172902021720678,107.0,Midfield,Saudi Arabia,2,0.62,-0.42447262480346787
258,Karim El Ahmadi Al Aroos,0.705755263863333,0.006245621804100292,113.0,Midfield,Morocco,3,0.62,-0.42447262480346787
259,Younès Belhanda,0.704380719253107,0.006233457692505371,113.0,Midfield,Morocco,3,0.62,-0.42447262480346787
260,Aníbal Cesis Godoy,0.6627037315302284,0.006251921995568193,106.0,Midfield,Panama,3,0.62,-0.42447262480346787
261,José Andrés Guardado Hernández,0.838894303502618,0.006168340466931014,136.0,Midfield,Mexico,4,0.62,-0.42447262480346787
262,Cristian David Pavón,0.4365871195782116,0.006063709994141828,72.0,Midfield,Argentina,4,0.62,-0.42447262480346787
263,Edson Omar Álvarez Velázquez,1.04063833368435,0.006157623276238758,169.0,Midfield,Mexico,4,0.62,-0.42447262480346787
264,Piotr Zieliński,1.0037118464677577,0.006195752138689862,162.0,Midfield,Poland,3,0.62,-0.42447262480346787
265,Lucas Torreira Di Pascua,0.9528862317347596,0.006228014586501697,153.0,Midfield,Uruguay,5,0.62,-0.42447262480346787
266,John Michael Nchekwube Obinna,0.959675743272109,0.006191456408207155,155.0,Midfield,Nigeria,3,0.62,-0.42447262480346787
267,Lucas Rodrigo Biglia,0.3017719509019043,0.006158611242896006,49.0,Midfield,Argentina,1,0.62,-0.42447262480346787
268,José Paulo Bezzera Maciel Júnior,0.9727667794179783,0.006235684483448579,156.0,Midfield,Brazil,5,0.62,-0.42447262480346787
269,Renato Fabrizio Tapia Cortijo,0.29360048664320393,0.00624681886474902,47.0,Midfield,Peru,2,0.62,-0.42447262480346787
270,Alfred John Momar N'Diaye,0.2906620922115225,0.006184299834287713,47.0,Midfield,Senegal,2,0.62,-0.42447262480346787
271,Giorgian Daniel De Arrascaeta Benedetti,0.2876763951950308,0.0062538346781528436,46.0,Midfield,Uruguay,2,0.62,-0.42447262480346787
272,Hattan Babhir,0.4301466135567952,0.006234008892127467,69.0,Midfield,Saudi Arabia,3,0.62,-0.42447262480346787
273,Ellyes Skhiri,1.021691885665546,0.006154770395575578,166.0,Midfield,Tunisia,3,0.62,-0.42447262480346787
274,Ricardo Guardia Avila,0.2682375836897194,0.0062380833416213815,43.0,Midfield,Panama,2,0.62,-0.42447262480346787
275,Cheikhou Kouyaté,0.2625292024142622,0.006250695295577671,42.0,Midfield,Poland,3,0.62,-0.42447262480346787
276,Salem Mohammed Al Dawsari,1.0233328047005472,0.006239834175003337,164.0,Midfield,Saudi Arabia,3,0.62,-0.42447262480346787
277,João Mário Naval da Costa Eduardo,1.0322359030925636,0.006255975170257962,165.0,Midfield,Portugal,4,0.62,-0.42447262480346787
278,Andreas Christensen,1.0375328867878726,0.006250198113179955,166.0,Midfield,Denmark,4,0.62,-0.42447262480346787
279,İlkay Gündoğan,0.3188258787175761,0.006251487817991688,51.0,Midfield,Germany,1,0.62,-0.42447262480346787
280,Robbie Kruse,0.35129983249124586,0.006273211294486533,56.0,Midfield,Australia,3,0.62,-0.42447262480346787
281,Oghenekaro Etebo,0.9477366905721208,0.006235109806395532,152.0,Midfield,Iceland,3,0.62,-0.42447262480346787
282,Ferjani Sassi,0.9361287626768815,0.006118488644946938,153.0,Midfield,Tunisia,3,0.62,-0.42447262480346787
283,Woo-Young Jung,0.3648732400670289,0.006081220667783815,60.0,Midfield,South Korea,3,0.62,-0.42447262480346787
284,Idrissa Gana Gueye,0.9078124152447369,0.006217893255100937,146.0,Midfield,Senegal,3,0.62,-0.42447262480346787
285,Yehya Sulaiman Al Shehri,0.3717919121089983,0.006196531868483305,60.0,Midfield,Saudi Arabia,2,0.62,-0.42447262480346787
286,Víctor Yoshimar Yotún Flores,0.8972123561207207,0.006230641361949449,144.0,Midfield,Peru,3,0.62,-0.42447262480346787
287,Shinji Kagawa,0.8803901076933703,0.006199930335868805,142.0,Midfield,Japan,3,0.62,-0.42447262480346787
288,Emil Hallfreðsson,0.37668003679762335,0.006175082570452842,61.0,Midfield,Iceland,2,0.62,-0.42447262480346787
289,Naïm Sliti,0.3911493882093578,0.006208720447767584,63.0,Midfield,Tunisia,3,0.62,-0.42447262480346787
290,Birkir Bjarnason,0.39457146892214984,0.006165179201908591,64.0,Midfield,Iceland,3,0.62,-0.42447262480346787
291,Ricardo Andrade Quaresma Bernardo,0.4132523108286965,0.006261398648919644,66.0,Midfield,Portugal,3,0.62,-0.42447262480346787
292,Tarek Hamed,0.8795108414535298,0.00619373832009528,142.0,Midfield,Egypt,3,0.62,-0.42447262480346787
293,Marouane Fellaini-Bakkioui,0.86173314327168,0.006155236737654858,140.0,Midfield,Belgium,5,0.62,-0.42447262480346787
294,Marco Asensio Willemsen,0.4169699172740359,0.006223431601105013,67.0,Midfield,Spain,3,0.62,-0.42447262480346787
295,Christian Alberto Cueva Bravo,0.857738439316978,0.006215495937079551,138.0,Midfield,Australia,3,0.62,-0.42447262480346787
296,Rándall Azofeifa Corrales,0.01202042770889742,0.00601021385444871,2.0,Midfield,Costa Rica,1,0.62,-0.42447262480346787
297,Sergio Ramos García,3.056097726849211,0.00616148735251857,496.0,Back,Spain,4,0.62,-0.42459140747098295
298,Motaz Ali Hassan Hawsawi,0.18769880350735227,0.006054800113140395,31.0,Back,Saudi Arabia,1,0.62,-0.42459140747098295
299,Federico Julián Fazio,0.16402179489426078,0.006074881292380029,27.0,Back,Argentina,1,0.62,-0.42459140747098295
300,Hugo Ayala Castro,0.428878651409406,0.006215632629121826,69.0,Back,Mexico,2,0.62,-0.42459140747098295
301,Maciej Rybus,0.429188155464295,0.006044903598088662,71.0,Back,Poland,2,0.62,-0.42459140747098295
302,Kenneth Josiah Omeruo,0.44732667054073055,0.006127762610146994,73.0,Back,Iceland,2,0.62,-0.42459140747098295
303,Anderson Santamaría Bardales,0.45880250579889653,0.00620003386214725,74.0,Back,Peru,2,0.62,-0.42459140747098295
304,Presnel Kimpembe,0.47477954648501886,0.006247099295855511,76.0,Back,France,1,0.62,-0.42459140747098295
305,Ehsan Hajsafi,0.47549543846709663,0.00625651892719864,76.0,Back,Iran,3,0.62,-0.42459140747098295
306,Birkir Már Sævarsson,0.48036418354057353,0.006158515173597097,78.0,Back,Iceland,3,0.62,-0.42459140747098295
307,Johnny Acosta Zamora,0.49284207008507974,0.006160525876063497,80.0,Back,Costa Rica,3,0.62,-0.42459140747098295
308,Thiago Rangel Cionek,0.49899874744294065,0.006160478363493095,81.0,Back,Senegal,1,0.62,-0.42459140747098295
309,Manuel Marouan da Costa Trinidade,0.5066408452965134,0.00617854689385992,82.0,Back,Morocco,3,0.62,-0.42459140747098295
310,Ali Gabr,0.5079865228409657,0.006194957595621533,82.0,Back,Egypt,3,0.62,-0.42459140747098295
311,Óscar Esau Duarte Gaitán,0.5199779682592661,0.006264794798304411,83.0,Back,Brazil,2,0.62,-0.42459140747098295
312,Fidel Escobar Mendieta,0.5362470270550597,0.006235430547151857,86.0,Back,Panama,3,0.62,-0.42459140747098295
313,Antonio Rüdiger,0.5377941840375394,0.006253420744622551,86.0,Back,Germany,1,0.62,-0.42459140747098295
314,Michael Amir Murillo Bermudez,0.5437798731461161,0.006250343369495587,87.0,Back,Panama,2,0.62,-0.42459140747098295
315,Duško Tošić,0.5442261231067131,0.006255472679387508,87.0,Back,Serbia,2,0.62,-0.42459140747098295
316,Young-Gwon Kim,0.5548199883718915,0.006233932453616758,89.0,Back,South Korea,3,0.62,-0.42459140747098295
317,Giancarlo González Castro,0.555962067342771,0.006177356303808566,90.0,Back,Costa Rica,3,0.62,-0.42459140747098295
318,Moussa Wagué,0.5580116518573678,0.006200129465081864,90.0,Back,Senegal,3,0.62,-0.42459140747098295
319,Nordin Amrabat,0.5590929105078732,0.00621214345008748,90.0,Back,Morocco,3,0.62,-0.42459140747098295
320,Romain Saïss,0.5679142474958857,0.006106604811783717,93.0,Back,Morocco,2,0.62,-0.42459140747098295
321,Nabil Dirar,0.5702076010383835,0.006197908706938951,92.0,Back,Morocco,2,0.62,-0.42459140747098295
322,Hörður Björgvin Magnússon,0.5913825609404604,0.006160235009796462,96.0,Back,Iceland,3,0.62,-0.42459140747098295
323,Djibril Sidibé,0.601200010959368,0.00607272738342796,99.0,Back,France,1,0.62,-0.42459140747098295
324,Cristian Gamboa Luna,0.6062917634380515,0.006186650647327056,98.0,Back,Costa Rica,3,0.62,-0.42459140747098295
325,Eduardo Antonio Salvio,0.6404158777756559,0.006099198835958628,105.0,Back,Argentina,2,0.62,-0.42459140747098295
326,Jens Stryger Larsen,0.6501156722095915,0.006251112232784534,104.0,Back,Denmark,3,0.62,-0.42459140747098295
327,Mats Hummels,0.6548509399484357,0.00623667561855653,105.0,Back,Germany,2,0.62,-0.42459140747098295
328,Yuri Zhirkov,0.6637912819571078,0.0062621819052557336,106.0,Back,Egypt,3,0.62,-0.42459140747098295
329,Román Aureliano Torres Morcillo,0.41758304868215324,0.006232582816151541,67.0,Back,Panama,3,0.62,-0.42459140747098295
330,Vedran Ćorluka,0.39525975205602265,0.006175933625875354,64.0,Back,Croatia,4,0.62,-0.42459140747098295
331,Michael Lang,0.3941221791502277,0.0062559076055591694,63.0,Back,Switzerland,3,0.62,-0.42459140747098295
332,Lamine Gassama,0.20081504551580115,0.006275470172368786,32.0,Back,Senegal,1,0.62,-0.42459140747098295
333,Milad Mohammadi,0.11949725694241667,0.006289329312758772,19.0,Back,Iran,2,0.62,-0.42459140747098295
334,Harold Oshkaly Cummings Segura,0.10092490423668585,0.0063078065147928655,16.0,Back,Tunisia,1,0.62,-0.42459140747098295
335,Felipe Abdiel Baloy Ramírez,0.09832836846865217,0.006145523029290761,16.0,Back,Panama,1,0.62,-0.42459140747098295
336,Roozbeh Cheshmi,0.09336394147270251,0.006224262764846834,15.0,Back,Iran,1,0.62,-0.42459140747098295
337,Yohan Benalouane,0.09217780340697476,0.005761112712935923,16.0,Back,Tunisia,1,0.62,-0.42459140747098295
338,Young-Sun Yun,0.07540056284703096,0.00628338023725258,12.0,Back,South Korea,1,0.62,-0.42459140747098295
339,Igor Smolnikov,0.07504032170536443,0.006253360142113702,12.0,Back,Uruguay,1,0.62,-0.42459140747098295
340,Joo-Ho Park,0.05704566560058221,0.0057045665600582215,10.0,Back,South Korea,1,0.62,-0.42459140747098295
341,Vladimir Granat,0.03774803241211884,0.00629133873535314,6.0,Back,Spain,1,0.62,-0.42459140747098295
342,Sofyan Amrabat,0.037343911943730726,0.006223985323955121,6.0,Back,Morocco,1,0.62,-0.42459140747098295
343,Marcos Aoás Corrêa ,0.01878001844505852,0.00626000614835284,3.0,Back,Brazil,1,0.62,-0.42459140747098295
344,Cristian Eduardo Zapata Valencia,0.006342421612590862,0.006342421612590862,1.0,Back,Colombia,1,0.62,-0.42459140747098295
345,Ian Rey Smith Quiros,0.006010210917432739,0.006010210917432739,1.0,Back,Costa Rica,1,0.62,-0.42459140747098295
346,Duje Ćaleta-Car,0.21034919945555045,0.006186741160457366,34.0,Back,Croatia,1,0.62,-0.42459140747098295
347,Sebastián Coates Nión,0.3938400839677373,0.006153751311995895,64.0,Back,Uruguay,1,0.62,-0.42459140747098295
348,Chul Hong,0.22537682890579508,0.006260467469605419,36.0,Back,South Korea,2,0.62,-0.42459140747098295
349,Kendall Jamaal Waston Manley,0.24641869795965948,0.006010212145357548,41.0,Back,Switzerland,1,0.62,-0.42459140747098295
350,Syam Ben Youssef,0.2568516881983485,0.006115516385674965,42.0,Back,Tunisia,2,0.62,-0.42459140747098295
351,Gary Cahill,0.27613641633456526,0.006275827643967392,44.0,Back,England,1,0.62,-0.42459140747098295
352,Sverrir Ingi Ingason,0.2840712323088589,0.006175461571931715,46.0,Back,Iceland,2,0.62,-0.42459140747098295
353,Kári Árnason,0.3072632237697125,0.00614526447539425,50.0,Back,Iceland,2,0.62,-0.42459140747098295
354,Tin Jedvaj,0.31555160973081275,0.006187286465310054,51.0,Back,Croatia,1,0.62,-0.42459140747098295
355,Ragnar Sigurðsson,0.3268300246620803,0.006166604238907175,53.0,Back,Iceland,3,0.62,-0.42459140747098295
356,Ricardo Domingos Barbosa Pereira,0.3344015505431942,0.00608002819169444,55.0,Back,Portugal,1,0.62,-0.42459140747098295
357,Alberto Junior Rodríguez Valdelomar,0.34663803717713804,0.006189964949591751,56.0,Back,Peru,2,0.62,-0.42459140747098295
358,Omar Ibrahim Omar Othman Hawsawi,0.3638346667702254,0.0062730114960383694,58.0,Back,Russia,1,0.62,-0.42459140747098295
359,Bryan Oviedo,0.386997803546234,0.006046840680409906,64.0,Back,Costa Rica,2,0.62,-0.42459140747098295
360,Morteza Pouraliganji,0.3881685865234882,0.006260783653604648,62.0,Back,Iran,3,0.62,-0.42459140747098295
361,Fedor Kudryashov,0.6750641498368026,0.006193249081071584,109.0,Back,Russia,4,0.62,-0.42459140747098295
362,José Ignacio Fernández Iglesias,0.6871714331641243,0.006247013028764767,110.0,Back,Spain,2,0.62,-0.42459140747098295
363,Erick Javier Davis Grajales,0.7023545664636597,0.006215527136846546,113.0,Back,Panama,2,0.62,-0.42459140747098295
364,Joshua Kimmich,1.6502623953345423,0.006227405265413368,265.0,Back,Germany,3,0.62,-0.42459140747098295
365,Yasir Gharsan Al Shahrani,1.3274417705509096,0.006232120988501923,213.0,Back,Saudi Arabia,3,0.62,-0.42459140747098295
366,Samuel Yves Umtiti,1.3315503511674973,0.0062221979026518565,214.0,Back,France,6,0.62,-0.42459140747098295
367,Santiago Arias Naranjo,1.332798598363408,0.006199063248201898,215.0,Back,Colombia,4,0.62,-0.42459140747098295
368,Ricardo Iván Rodríguez Araya,1.3437864687876635,0.0062212336517947385,216.0,Back,Switzerland,4,0.62,-0.42459140747098295
369,Johan Andrés Mojica Palacio,1.3612045839696756,0.00624405772463154,218.0,Back,Colombia,4,0.62,-0.42459140747098295
370,Simon Thorup Kjær,1.3785995252403036,0.006238006901539835,221.0,Back,Denmark,4,0.62,-0.42459140747098295
371,Carlos Joel Salcedo Hernández,1.3902410299490138,0.006151508982075282,226.0,Back,Mexico,4,0.62,-0.42459140747098295
372,Fágner Conserva Lemos,1.4129001750786943,0.006196930592450413,228.0,Back,Brazil,4,0.62,-0.42459140747098295
373,Thomas Meunier,1.445164512859589,0.006123578444320292,236.0,Back,Belgium,5,0.62,-0.42459140747098295
374,Mohammed Al Burayk,1.4860523802755765,0.006243917564183094,238.0,Back,Saudi Arabia,3,0.62,-0.42459140747098295
375,Raphaël Adelino José Guerreiro,1.5751650657861738,0.006250655022961007,252.0,Back,Portugal,4,0.62,-0.42459140747098295
376,João Miranda de Souza Filho,1.5980390066563064,0.006242339869751197,256.0,Back,Brazil,5,0.62,-0.42459140747098295
377,Mário Figueira Fernandes,1.6237855955712182,0.006245329213735455,260.0,Back,Russia,5,0.62,-0.42459140747098295
378,Vincent Kompany,1.7280920740604528,0.006238599545344595,277.0,Back,Belgium,5,0.62,-0.42459140747098295
379,Kalidou Koulibaly,0.7030759253884196,0.0062219108441453055,113.0,Back,Senegal,3,0.62,-0.42459140747098295
380,Thiago Emiliano da Silva,1.7959183512387704,0.006214250350307164,289.0,Back,Brazil,5,0.62,-0.42459140747098295
381,Marcelo Vieira da Silva Júnior,1.8122325259972059,0.006227603182120982,291.0,Back,Brazil,4,0.62,-0.42459140747098295
382,Ivan Strinić,1.8429305346265628,0.006184330653109271,298.0,Back,Croatia,6,0.62,-0.42459140747098295
383,Manuel Obafemi Akanji,1.8867742230018902,0.006206494154611481,304.0,Back,Serbia,4,0.62,-0.42459140747098295
384,Domagoj Vida,1.9570424076677346,0.006173635355418722,317.0,Back,Denmark,6,0.62,-0.42459140747098295
385,Benjamin Pavard,1.9971146952625138,0.006240983422695356,320.0,Back,France,6,0.62,-0.42459140747098295
386,Raphaël Varane,2.0982031107485732,0.0061893897072229295,339.0,Back,France,7,0.62,-0.42459140747098295
387,Jan Vertonghen,2.178886707141355,0.00619001905437885,352.0,Back,Belgium,6,0.62,-0.42459140747098295
388,Gerard Piqué Bernabéu,2.1789995642505455,0.006155366000707756,354.0,Back,Spain,4,0.62,-0.42459140747098295
389,Dejan Lovren,2.2887384356317866,0.006152522676429534,372.0,Back,Croatia,7,0.62,-0.42459140747098295
390,Šime Vrsaljko,2.297249857886494,0.006142379299161749,374.0,Back,Croatia,6,0.62,-0.42459140747098295
391,Jordi Alba Ramos,2.5579767449707114,0.006178687789784327,414.0,Back,Spain,4,0.62,-0.42459140747098295
392,Toby Alderweireld,2.7667295333993924,0.0062034294470838395,446.0,Back,Belgium,6,0.62,-0.42459140747098295
393,Fabian Lukas Schär,1.3216537750557174,0.006147226860724267,215.0,Back,Switzerland,3,0.62,-0.42459140747098295
394,Davinson Sánchez Mina,1.3026617320938583,0.006232831254037599,209.0,Back,Colombia,4,0.62,-0.42459140747098295
395,Miguel Ángel Trauco Saavedra,1.2600324532933822,0.006207056420164445,203.0,Back,Peru,3,0.62,-0.42459140747098295
396,Henrik Dalsgaard,1.226058381814824,0.006223646608197076,197.0,Back,Denmark,4,0.62,-0.42459140747098295
397,Yong Lee,0.7293209126668694,0.00612874716526781,119.0,Back,South Korea,3,0.62,-0.42459140747098295
398,Youssouf Sabaly,0.732913080579615,0.0062111278015221615,118.0,Back,Senegal,3,0.62,-0.42459140747098295
399,Christian Guillermo Martín Ramos Garagay,0.7383249957056495,0.006204411728618903,119.0,Back,Peru,3,0.62,-0.42459140747098295
400,William Troost-Ekong,0.7427582204490518,0.006241665718059259,119.0,Back,Nigeria,3,0.62,-0.42459140747098295
401,Achraf Hakimi Mouh,0.7566170267949399,0.006201778908155245,122.0,Back,Morocco,3,0.62,-0.42459140747098295
402,Diego Sebastián Laxalt Suárez,0.7697473558577631,0.006258108584209456,123.0,Back,Uruguay,4,0.62,-0.42459140747098295
403,Ahmed Hegazi,0.777042002407733,0.006216336019261864,125.0,Back,Egypt,3,0.62,-0.42459140747098295
404,Salif Sané,0.7775429573838257,0.006220343659070606,125.0,Back,Senegal,3,0.62,-0.42459140747098295
405,Filipe Luis Kasmirski,0.8075868783887371,0.006260363398362303,129.0,Back,Brazil,2,0.62,-0.42459140747098295
406,Leon-Aderemi Balogun,0.8130800474631563,0.006206717919566079,131.0,Back,Nigeria,3,0.62,-0.42459140747098295
407,Osama Abdulrezag Hawsawi,0.8257193630050506,0.006255449719735231,132.0,Back,Saudi Arabia,3,0.62,-0.42459140747098295
408,Luis Jan Piers Advíncula Castrillón,0.8937667359317708,0.00620671344397063,144.0,Back,Peru,3,0.62,-0.42459140747098295
409,Héctor Alfredo Moreno Herrera,0.896087275304604,0.006137584077428794,146.0,Back,Mexico,3,0.62,-0.42459140747098295
410,Stephan Lichtsteiner,0.9411172344944164,0.006191560753252739,152.0,Back,Switzerland,3,0.62,-0.42459140747098295
411,Josip Pivarić,0.9816177968295878,0.0062127708660100495,158.0,Back,Croatia,4,0.62,-0.42459140747098295
412,Yerry Fernando Mina González,0.9850774613225993,0.006195455731588675,159.0,Back,Colombia,3,0.62,-0.42459140747098295
413,Faustino Marcos Alberto Rojo,0.9925462846451076,0.006126828917562393,162.0,Back,Iceland,3,0.62,-0.42459140747098295
414,Sergei Ignashevich,0.9938087730584089,0.006211304831615055,160.0,Back,Egypt,5,0.62,-0.42459140747098295
415,Ilya Kutepov,1.025236319086089,0.006213553449006599,165.0,Back,Egypt,5,0.62,-0.42459140747098295
416,Ahmed Fathy Abdel Meneim Ibrahim,1.043825478784952,0.006213246897529476,168.0,Back,Egypt,3,0.62,-0.42459140747098295
417,Jan Bednarek,1.0621168738739306,0.006247746316905474,170.0,Back,Poland,3,0.62,-0.42459140747098295
418,Jesús Daniel Gallardo Vasconcelos,1.1061801497669614,0.006145445276483119,180.0,Back,Mexico,4,0.62,-0.42459140747098295
419,Mohamed Abdul Shafy Sayed Abouezeid,1.1128149002664665,0.006216843018248416,179.0,Back,Egypt,3,0.62,-0.42459140747098295
420,Gen Shōji,1.115592637680588,0.006232361104360827,179.0,Back,Japan,3,0.62,-0.42459140747098295
421,Jérôme Boateng,1.1418350522293508,0.006205625283855167,184.0,Back,Germany,2,0.62,-0.42459140747098295
422,Yassine Meriah,1.156291840255091,0.006216622797070382,186.0,Back,Tunisia,3,0.62,-0.42459140747098295
423,Anga Dedryck Boyata,1.1906778145175085,0.006201446950612023,192.0,Back,Belgium,3,0.62,-0.42459140747098295
424,Hiroki Sakai,1.2034917101249043,0.006235708342616084,193.0,Back,Senegal,4,0.62,-0.42459140747098295
425,Marvin Plattenhardt,0.14763723163100945,0.006151551317958727,24.0,Back,Germany,1,0.62,-0.42459140747098295
426,Mahmoud Abdul Monem Abdelhamid Soliman,0.1312609653175918,0.0062505221579805615,21.0,Forward,Egypt,3,0.62,-0.49209626524421324
427,Luis Carlos Tejada Hansell,0.132474324028414,0.00630830114421019,21.0,Striker,Panama,2,0.62,-0.49209626524421324
428,Kevin De Bruyne,2.1707264259853045,0.006202075502815155,350.0,Striker,Belgium,6,0.62,-0.49209626524421324
429,Mehdi Carcela-González,0.05111437061675045,0.006389296327093806,8.0,Forward,Morocco,1,0.62,-0.49209626524421324
430,Pape Moussa Konaté,0.03719285380979734,0.006198808968299556,6.0,Forward,Senegal,2,0.62,-0.49209626524421324
431,Mohanad Aseri Abu Radiah,0.036766026396351154,0.006127671066058525,6.0,Forward,Egypt,2,0.62,-0.49209626524421324
432,Ismael Díaz De León,0.031551310083170414,0.006310262016634083,5.0,Wing,Panama,1,0.62,-0.49209626524421324
433,Kasper Dolberg,0.030450524629996607,0.006090104925999321,5.0,Forward,Denmark,1,0.62,-0.49209626524421324
434,Rodney Wallace,0.030051122347565035,0.006010224469513007,5.0,Wing,Costa Rica,1,0.62,-0.49209626524421324
435,Youssef En-Nesyri,0.02891139335658682,0.005782278671317364,5.0,Forward,Morocco,1,0.62,-0.49209626524421324
436,Maximiliano Gómez González,0.024982993251142956,0.006245748312785739,4.0,Forward,Uruguay,2,0.62,-0.49209626524421324
437,Aleksandar Prijović,0.019000523834150757,0.006333507944716919,3.0,Forward,Serbia,1,0.62,-0.49209626524421324
438,Raúl Mario Ruidíaz Misitich,0.01860968437371332,0.006203228124571106,3.0,Wing,Peru,2,0.62,-0.49209626524421324
439,Oribe Peralta Morones,0.018363825609454723,0.006121275203151574,3.0,Forward,Mexico,1,0.62,-0.49209626524421324
440,Aziz Bouhaddouz,0.01778932328065392,0.00592977442688464,3.0,Forward,Morocco,2,0.62,-0.49209626524421324
441,Diafra Sakho,0.012550940344744127,0.006275470172372064,2.0,Forward,Senegal,1,0.62,-0.49209626524421324
442,Arnór Ingvi Traustason,0.012373487564240355,0.006186743782120177,2.0,Wing,Iceland,1,0.62,-0.49209626524421324
443,Albert Gudmundsson,0.012373487557019617,0.0061867437785098085,2.0,Forward,Iceland,1,0.62,-0.49209626524421324
444,Daniel Nii Tackie Mensah Welbeck,0.006275827568234921,0.006275827568234921,1.0,Forward,England,1,0.62,-0.49209626524421324
445,Miguel Ángel Borja Hernández,0.006275470172372064,0.006275470172372064,1.0,Forward,Colombia,1,0.62,-0.49209626524421324
446,Simeon Tochukwu Nwankwo,0.006109037760675509,0.006109037760675509,1.0,Forward,Nigeria,1,0.62,-0.49209626524421324
447,Florian Thauvin,0.0060748802222475645,0.0060748802222475645,1.0,Wing,France,1,0.62,-0.49209626524421324
448,Dawid Kownacki,0.15607111124998668,0.006002735048076411,26.0,Wing,Poland,2,0.62,-0.49209626524421324
449,Khalid Boutaïb,0.15944899363728465,0.006132653601434025,26.0,Forward,Morocco,2,0.62,-0.49209626524421324
450,Ramadan Sobhi,0.16048216791247577,0.006172391073556761,26.0,Wing,Egypt,3,0.62,-0.49209626524421324
451,Michy Batshuayi Tunga,0.16637355709646398,0.006161983596165333,27.0,Forward,Belgium,2,0.62,-0.49209626524421324
452,Iago Aspas Juncal,0.17316369639770882,0.0061844177284896005,28.0,Forward,Spain,3,0.62,-0.49209626524421324
453,Carlos Arturo Bacca Ahumada,0.18099178469601307,0.006241096024000451,29.0,Forward,Colombia,3,0.62,-0.49209626524421324
454,Eden Hazard,1.684483834855231,0.006215807508690889,271.0,Wing,Belgium,6,0.62,-0.49209626524421324
455,Daniel Colindres Solera,0.20599266811536773,0.00605860788574611,34.0,Wing,Costa Rica,2,0.62,-0.49209626524421324
456,Blas Antonio Miguel Pérez Ortega,0.21820091337168931,0.006234311810619695,35.0,Forward,Panama,2,0.62,-0.49209626524421324
